City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,hammerfest,70.6634,23.6821,278.4,70,75,3.09,NO,1686848789
83,pacasmayo,-7.4006,-79.5714,297.5,70,94,5.75,PE,1686848789
84,mount gambier,-37.8333,140.7667,283.83,82,31,5.32,AU,1686848790
85,vilela,41.2251,-7.6034,299.99,32,30,1.54,PT,1686848790
86,muli,2.9167,73.5667,301.92,79,100,5.96,MV,1686848790
87,jamestown,42.097,-79.2353,294.0,66,100,1.54,US,1686848790
88,saint-philippe,-21.3585,55.7679,297.92,79,62,4.15,RE,1686848791
89,la sarre,48.8002,-79.1996,291.55,60,90,3.51,CA,1686848692
90,anqiu,36.4342,119.1925,295.71,61,31,4.92,CN,1686848791
91,puerto baquerizo moreno,-0.9,-89.6,300.7,74,75,6.17,EC,1686848792
92,palmares do sul,-30.2578,-50.5097,289.4,92,100,7.81,BR,1686848739
93,klyuchi,52.2667,79.1667,291.24,43,45,3.37,RU,1686848792
94,happy valley-goose bay,53.3168,-60.3315,284.32,66,100,5.14,CA,1686848792
95,greymouth,-42.4667,171.2,278.59,80,76,3.61,NZ,1686848793
96,hamilton,39.1834,-84.5333,301.05,60,0,3.6,US,1686848793
97,polygyros,40.3744,23.4383,295.18,71,73,1.43,GR,1686848793
98,kingston,17.997,-76.7936,307.17,57,20,10.8,JM,1686848665
99,nemuro,43.3236,145.575,286.42,97,100,2.94,JP,1686848794
100,impfondo,1.6381,18.0667,299.4,75,58,0.95,CG,1686848794
101,badger,64.8,-147.5333,286.48,61,40,1.54,US,1686848794
102,yebaishou,41.3975,119.6408,294.32,62,62,3.25,CN,1686848795
103,port alfred,-33.5906,26.891,286.58,92,50,1.34,ZA,1686848795
104,tazovsky,67.4667,78.7,276.15,95,98,4.63,RU,1686848795
105,enewetak,11.3474,162.3373,300.79,79,83,9.35,MH,1686848795
106,utrik,11.2278,169.8474,300.73,80,52,9.13,MH,1686848796
107,tiksi,71.6872,128.8694,277.25,83,53,1.07,RU,1686848796
108,weno,7.4515,151.8468,301.86,76,100,6.31,FM,1686848797
109,labytnangi,66.6572,66.4183,279.77,84,100,7.17,RU,1686848797
110,sao vicente,-23.9631,-46.3919,296.25,94,75,0.53,BR,1686848797
111,palikir - national government center,6.9248,158.1611,300.45,80,100,5.22,FM,1686848797
112,bantogon,6.5333,124.0333,298.49,83,100,1.71,PH,1686848798
113,hithadhoo,-0.6,73.0833,302.1,74,100,5.41,MV,1686848798
114,hailar,49.2,119.7,290.48,66,47,2.49,CN,1686848798
115,colonia,50.9333,6.95,300.28,29,0,2.57,DE,1686848798
116,hawaiian paradise park,19.5933,-154.9731,294.88,97,100,3.6,US,1686848799
117,lashio,22.9333,97.75,293.22,98,91,0.35,MM,1686848799
118,vacaria,-28.5122,-50.9339,284.64,98,100,0.61,BR,1686848587
119,ceres,37.5949,-120.9577,297.71,56,0,3.09,US,1686848799
120,okhotsk,59.3833,143.3,281.54,97,100,1.04,RU,1686848799
121,jamsankoski,61.919,25.1701,299.42,40,10,0.31,FI,1686848800
122,ciudad bolivar,8.1222,-63.5497,305.78,45,72,4.49,VE,1686848771
123,ujae,8.9322,165.7642,301.48,77,99,10.24,MH,1686848800
124,bredasdorp,-34.5322,20.0403,284.71,88,30,3.76,ZA,1686848800
125,thompson,55.7435,-97.8558,289.24,44,20,3.09,CA,1686848800
126,eraan,9.0629,117.7016,298.13,79,100,0.99,PH,1686848801
127,wingham,43.8879,-81.3114,291.15,78,100,3.59,CA,1686848801
128,bilibino,68.0546,166.4372,273.53,70,10,1.87,RU,1686848801
129,concepcion,-36.827,-73.0498,286.04,88,100,2.57,CL,1686848801
130,taoudenni,22.6783,-3.9836,317.68,8,0,3.12,ML,1686848802
131,agua prieta,31.3,-109.5667,302.25,9,0,4.77,MX,1686848802
132,borkum,53.5809,6.6915,290.12,75,29,4.46,DE,1686848802
133,pulawy,51.4166,21.9694,295.23,57,57,1.47,PL,1686848802
134,sisimiut,66.9395,-53.6735,274.1,86,100,4.8,GL,1686848803
135,iskateley,67.6803,53.1512,277.49,71,95,11.31,RU,1686848803
136,port elizabeth,-33.918,25.5701,286.66,93,33,5.81,ZA,1686848803
137,ribeira grande,38.5167,-28.7,294.37,78,20,6.69,PT,1686848803
138,ilulissat,69.2167,-51.1,276.16,81,75,2.57,GL,1686848804
139,uvinza,-5.1036,30.3911,295.46,64,43,1.75,TZ,1686848804
140,yershov,51.3513,48.2766,295.86,57,100,7.93,RU,1686848804
141,alpine,32.835,-116.7664,292.19,74,100,2.68,US,1686848804
142,stephenville,32.2207,-98.2023,304.69,74,0,3.09,US,1686848804
143,wenchang,30.904,118.4887,296.73,57,100,2.23,CN,1686848805
144,geraldton,-28.7667,114.6,285.38,87,40,3.09,AU,1686848805
145,remire-montjoly,4.9167,-52.2667,303.17,66,40,5.14,GF,1686848805
146,puerto deseado,-47.7503,-65.8938,279.71,58,6,5.81,AR,1686848805
147,vorgashor,67.5833,63.95,276.14,93,92,6.74,RU,1686848806
148,sao jose da coroa grande,-8.8978,-35.1478,299.94,81,25,5.91,BR,1686848806
149,kabinda,-6.1333,24.4833,298.91,44,88,1.11,CD,1686848806
150,lihue,21.9789,-159.3672,296.92,89,100,7.2,US,1686848806
151,carloforte,39.145,8.3058,295.75,81,1,8.96,IT,1686848806
152,crane,31.3974,-102.3501,308.77,8,67,7.99,US,1686848807
153,gamba,-2.65,10.0,296.55,82,100,4.07,GA,1686848807
154,ghat,24.9647,10.1728,314.68,7,11,5.08,LY,1686848807
155,andrelandia,-21.7397,-44.3092,297.61,50,98,2.92,BR,1686848807
156,haiku-pauwela,20.9219,-156.3051,297.62,80,0,2.06,US,1686848808
157,siofok,46.9041,18.058,293.18,70,100,1.9,HU,1686848808
158,alofi,-19.0595,-169.9187,297.6,78,96,6.74,NU,1686848808
159,le port,-20.9373,55.2919,298.15,90,17,3.59,RE,1686848808
160,carnarvon,-24.8667,113.6333,290.68,75,0,5.73,AU,1686848809
161,uturoa,-16.7333,-151.4333,300.53,81,96,8.03,PF,1686848809
162,saint-jean-de-maurienne,45.1667,6.5833,283.78,73,75,4.01,FR,1686848810
163,kapa'a,22.0752,-159.319,297.33,91,100,7.2,US,1686848613
164,mahalingpur,16.3833,75.1167,300.07,64,12,7.14,IN,1686848811
165,bor,56.3567,44.0669,296.11,63,98,2.16,RU,1686848811
166,birzebbuga,35.8258,14.5269,297.12,68,20,9.77,MT,1686848812
167,new norfolk,-42.7826,147.0587,280.21,81,97,0.45,AU,1686848812
168,nizhniy kuranakh,58.8353,125.4869,281.96,84,95,4.42,RU,1686848812
169,bhola,22.6833,90.65,302.0,89,95,9.24,BD,1686848812
170,blenheim,-41.516,173.9528,278.81,88,28,2.76,NZ,1686848813
171,ledbury,52.0364,-2.4263,298.83,47,81,1.82,GB,1686848813
172,at taj,24.2049,23.2857,310.27,11,1,3.33,LY,1686848813
173,miyaly,48.8844,53.7836,302.34,20,96,5.64,KZ,1686848813
174,katsuura,35.1333,140.3,293.72,94,100,8.28,JP,1686848814
175,atafu village,-8.5421,-172.5159,302.0,74,27,8.45,TK,1686848814
176,nova sintra,14.8667,-24.7167,294.28,79,33,8.04,CV,1686848814
